Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,6.151344,6.155441,5.712866,5.772328,5.772328,629688669
2020-12-09,5.771827,6.198380,5.629710,6.069220,6.069220,954056392
2020-12-10,6.069403,6.105357,5.813160,5.900728,5.900728,607067842
2020-12-11,5.901035,5.960576,5.716223,5.802170,5.802170,570772568
2020-12-12,5.801294,6.031943,5.793181,5.966903,5.966903,444777617
2020-12-13,5.967165,6.257355,5.925492,6.114132,6.114132,487181246
2020-12-14,6.114169,6.134026,5.943232,6.029318,6.029318,461612748
2020-12-15,6.029635,6.111973,5.947783,6.054771,6.054771,453664751
2020-12-16,6.054811,6.447107,5.960756,6.437229,6.437229,728122062
2020-12-17,6.438452,6.807783,6.359114,6.478168,6.478168,1134523198
2020-12-18,6.478823,6.606672,6.294620,6.402587,6.402587,762202781
2020-12-19,6.402508,6.533216,6.370268,6.424134,6.424134,685902898
2020-12-20,6.423816,6.820768,6.263949,6.474916,6.474916,964200699
2020-12-21,6.476047,6.907552,6.098255,6.131781,6.131781,1078055757
2020-12-22,6.129840,6.193635,5.785608,6.123994,6.123994,874866456
2020-12-23,6.123270,6.156751,4.835138,5.079751,5.079751,1024946251
2020-12-24,5.082020,5.620595,5.037511,5.582312,5.582312,1107049394
2020-12-25,5.582587,5.855865,5.484737,5.750654,5.750654,948453689
2020-12-26,5.751029,5.873053,5.603007,5.825968,5.825968,760151411
2020-12-27,5.826141,6.092849,5.544398,5.807237,5.807237,988741542
2020-12-28,5.808100,6.142080,5.790821,5.923213,5.923213,836276543
2020-12-29,5.922092,6.015897,5.501197,5.731340,5.731340,667001510
2020-12-30,5.729239,5.797083,5.628508,5.686911,5.686911,916370306
2020-12-31,5.686644,5.806391,5.585835,5.677589,5.677589,709023166
2021-01-01,5.677616,5.857801,5.628714,5.704348,5.704348,556639553
2021-01-02,5.704999,5.947958,5.596023,5.782465,5.782465,715306867
2021-01-03,5.783431,6.676415,5.778108,6.557408,6.557408,1377349497
2021-01-04,6.565379,7.598378,6.298311,7.014788,7.014788,1821321887
2021-01-05,7.015214,7.372566,6.702179,7.249322,7.249322,1291674762
2021-01-06,7.250733,7.771709,7.015241,7.589999,7.589999,1676433214
2021-01-07,7.590243,7.737219,7.044405,7.214768,7.214768,1770317764
2021-01-08,7.215334,7.307747,6.668120,6.947144,6.947144,1650346807
2021-01-09,6.947371,8.040716,6.737285,7.774580,7.774580,2051312079
2021-01-10,7.775192,9.466859,7.775192,8.894905,8.894905,3946510254
2021-01-11,8.891841,8.891841,6.335710,7.248311,7.248311,2935227025
2021-01-12,7.245323,7.657739,6.866571,7.008719,7.008719,1775054609
2021-01-13,7.008846,7.631955,6.874800,7.591274,7.591274,1223601377
2021-01-14,7.590382,8.087874,7.398406,7.745800,7.745800,1318500838
2021-01-15,7.750854,7.998717,7.214645,7.594009,7.594009,1369887263
2021-01-16,7.590032,8.098956,7.435798,7.801343,7.801343,1259158007
2021-01-17,7.801493,7.943473,7.394857,7.651183,7.651183,1136556771
2021-01-18,7.652942,7.873846,7.459707,7.699496,7.699496,1092338048
2021-01-19,7.699145,8.488005,7.666759,7.847266,7.847266,1768930960
2021-01-20,7.843464,8.035090,7.426767,7.916837,7.916837,1729793613
2021-01-21,7.916762,8.156548,7.040721,7.106028,7.106028,1351386979
2021-01-22,7.108460,7.506093,6.725629,7.436472,7.436472,1150937853
2021-01-23,7.433990,7.596042,7.246897,7.439268,7.439268,915104167
2021-01-24,7.439136,7.804655,7.392440,7.633082,7.633082,853417339
2021-01-25,7.632760,7.960014,7.397983,7.512441,7.512441,1055845770
2021-01-26,7.511676,7.601676,7.115545,7.434710,7.434710,806232079
2021-01-27,7.434907,7.437392,6.666599,6.905074,6.905074,816336746
2021-01-28,6.904145,7.285857,6.803535,7.283052,7.283052,926715639
2021-01-29,7.822342,8.033137,7.409761,7.628500,7.628500,1345784779
2021-01-30,7.626937,7.783259,7.338264,7.563831,7.563831,966166730
2021-01-31,7.564291,7.693361,7.237002,7.412038,7.412038,858550701
2021-02-01,7.412967,7.626316,7.282807,7.513754,7.513754,867354238
2021-02-02,7.513899,7.912556,7.467814,7.802984,7.802984,927985178
2021-02-03,7.802616,7.987846,7.668676,7.926592,7.926592,1056168045
2021-02-04,7.927354,8.074659,7.569748,7.648014,7.648014,991881671
2021-02-05,7.648511,8.861331,7.637704,8.518878,8.518878,1525968265
2021-02-06,8.518718,9.055174,8.251690,8.760404,8.760404,1585778785
2021-02-07,8.759550,8.843681,7.891734,8.293876,8.293876,1318453489
2021-02-08,8.292087,8.739281,8.128702,8.695138,8.695138,1421064289
2021-02-09,8.696092,9.932047,8.662033,9.569907,9.569907,1776235455
